param_type,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,INPUTS,OUTPUTS,OUTCOME,FAIRNESS
47,A11,0,A32,A41,<= 3000,A63,A71,1,A92,A101,2,A122,<= 30,A143,A151,1,A171,1,A192,A201,1,PASS,FAIR
48,A14,0,A34,A40,<= 9000,A61,A73,1,A93,A101,4,A122,<= 60,A143,A152,2,A172,1,A191,A201,1,PASS,UNFAIR
49,A14,1,A32,A43,<= 3000,A62,A73,4,A92,A102,2,A121,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
50,A12,2,A33,A42,<= 3000,A65,A72,4,A93,A101,2,A122,<= 30,A141,A152,1,A172,1,A191,A201,1,PASS,FAIR
51,A12,2,A33,A41,<= 6000,A61,A75,1,A93,A101,2,A123,<= 60,A143,A152,2,A174,1,A192,A201,1,PASS,UNFAIR
52,A14,1,A32,A43,<= 3000,A61,A73,3,A93,A101,2,A123,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
53,A14,1,A32,A41,<= 6000,A65,A73,2,A93,A101,1,A122,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,FAIR
54,A12,3,A33,A40,<= 3000,A61,A75,4,A93,A101,4,A124,<= 60,A141,A153,2,A173,1,A192,A201,2,FAIL,UNFAIR
55,A14,0,A31,A40,<= 3000,A65,A73,1,A93,A103,2,A121,<= 30,A142,A152,1,A172,2,A191,A201,1,PASS,FAIR
56,A12,1,A32,A43,<= 9000,A65,A71,2,A93,A101,1,A124,<= 60,A143,A152,1,A174,1,A192,A201,2,FAIL,FAIR
57,A14,3,A34,A43,<= 12000,A61,A73,2,A92,A101,2,A123,<= 60,A142,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
58,A13,1,A32,A40,<= 3000,A61,A75,3,A92,A101,2,A123,<= 30,A143,A152,1,A174,1,A191,A201,1,PASS,UNFAIR
59,A11,3,A34,A42,<= 9000,A61,A72,4,A92,A102,4,A124,<= 30,A143,A151,2,A172,1,A192,A201,2,FAIL,UNFAIR
60,A12,0,A32,A49,<= 3000,A61,A73,2,A94,A101,1,A121,<= 30,A141,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
61,A12,1,A34,A43,<= 3000,A65,A75,4,A93,A103,4,A121,<= 60,A143,A152,2,A173,1,A192,A201,1,PASS,FAIR
62,A12,3,A30,A49,<= 3000,A61,A75,4,A93,A101,4,A124,> 60,A143,A153,1,A174,1,A192,A201,2,FAIL,UNFAIR
63,A12,4,A30,A49,<= 15000,A61,A73,2,A93,A101,2,A123,<= 30,A143,A152,1,A173,1,A192,A201,2,FAIL,UNFAIR
64,A14,2,A32,A43,<= 6000,A61,A72,4,A92,A101,4,A122,<= 30,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
65,A14,2,A32,A45,<= 6000,A65,A75,4,A93,A101,4,A122,<= 60,A143,A152,4,A173,2,A192,A201,1,PASS,FAIR
66,A14,1,A32,A43,<= 3000,A61,A72,2,A92,A101,2,A123,<= 30,A141,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
67,A12,1,A32,A40,<= 3000,A64,A73,4,A94,A101,1,A121,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,FAIR
68,A14,3,A32,A46,<= 3000,A61,A73,4,A93,A101,4,A124,<= 60,A142,A153,1,A173,1,A192,A201,2,FAIL,UNFAIR
69,A14,3,A32,A43,<= 3000,A65,A73,4,A92,A101,4,A123,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,FAIR
70,A14,3,A32,A41,<= 9000,A61,A73,1,A92,A101,2,A122,<= 60,A141,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
71,A14,0,A34,A43,<= 3000,A65,A75,4,A93,A101,2,A122,<= 60,A143,A151,2,A172,1,A192,A201,1,PASS,FAIR
72,A11,0,A34,A410,<= 3000,A61,A75,3,A93,A101,4,A124,<= 60,A141,A153,2,A174,2,A192,A201,1,PASS,UNFAIR
73,A12,3,A34,A49,<= 6000,A61,A74,2,A92,A101,1,A121,<= 60,A141,A152,2,A172,1,A191,A201,1,PASS,UNFAIR
74,A11,3,A32,A46,<= 3000,A65,A75,4,A93,A101,4,A124,<= 60,A143,A152,1,A174,1,A192,A201,2,FAIL,FAIR
75,A11,1,A34,A41,<= 3000,A61,A75,4,A93,A101,4,A124,> 60,A143,A153,2,A174,1,A191,A201,1,PASS,UNFAIR
76,A11,3,A32,A43,<= 6000,A61,A72,4,A93,A101,3,A123,<= 60,A143,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
77,A12,0,A33,A43,<= 6000,A61,A74,2,A93,A101,4,A122,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
78,A14,4,A30,A41,<= 12000,A65,A73,2,A93,A101,2,A122,<= 60,A143,A152,1,A172,2,A191,A201,1,PASS,FAIR
79,A12,2,A32,A42,<= 6000,A61,A72,2,A94,A101,1,A122,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
80,A14,2,A32,A43,<= 6000,A65,A72,1,A92,A101,1,A123,<= 60,A143,A152,2,A173,1,A192,A201,2,FAIL,FAIR
81,A14,1,A32,A43,<= 3000,A63,A75,4,A93,A101,3,A122,<= 60,A142,A152,1,A173,1,A192,A201,1,PASS,FAIR
82,A14,1,A32,A49,<= 3000,A62,A73,3,A92,A101,4,A122,<= 30,A143,A151,1,A172,1,A191,A201,1,PASS,UNFAIR
83,A11,2,A32,A410,<= 3000,A61,A75,4,A92,A103,4,A121,<= 60,A143,A152,1,A172,1,A192,A201,1,PASS,UNFAIR
84,A11,0,A32,A43,<= 3000,A61,A75,3,A93,A101,4,A121,<= 60,A143,A152,1,A172,1,A191,A201,1,PASS,UNFAIR
85,A14,1,A34,A49,<= 3000,A61,A73,4,A92,A103,2,A121,<= 30,A143,A152,2,A174,1,A192,A201,1,PASS,UNFAIR
86,A12,1,A34,A42,<= 3000,A61,A72,4,A92,A101,1,A122,<= 30,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
87,A12,3,A32,A46,<= 15000,A62,A73,1,A93,A101,4,A124,<= 60,A143,A153,1,A173,2,A192,A201,2,FAIL,UNFAIR
88,A11,1,A32,A40,<= 3000,A62,A74,4,A93,A101,3,A123,<= 60,A143,A152,1,A174,2,A192,A201,1,PASS,UNFAIR
89,A11,1,A30,A45,<= 3000,A61,A74,4,A93,A101,3,A121,<= 30,A143,A152,2,A173,1,A191,A201,2,FAIL,UNFAIR
90,A14,1,A34,A43,<= 3000,A61,A75,4,A93,A101,4,A121,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
91,A11,1,A34,A41,<= 3000,A61,A75,4,A93,A101,3,A121,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
92,A14,1,A34,A43,<= 3000,A65,A75,4,A92,A101,3,A122,<= 60,A141,A152,1,A172,2,A191,A201,2,FAIL,FAIR
93,A13,2,A34,A42,<= 6000,A65,A75,4,A93,A102,4,A124,<= 30,A143,A151,2,A173,1,A191,A201,1,PASS,FAIR
94,A12,1,A32,A40,<= 3000,A64,A75,4,A93,A101,4,A121,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,FAIR
95,A12,4,A30,A49,<= 18000,A61,A72,3,A93,A101,4,A124,<= 60,A143,A151,1,A173,1,A192,A201,2,FAIL,UNFAIR
96,A14,1,A34,A46,<= 3000,A65,A74,4,A92,A101,2,A123,> 60,A143,A152,1,A173,1,A191,A201,1,PASS,FAIR
97,A12,1,A32,A49,<= 3000,A62,A73,4,A93,A101,4,A123,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
98,A12,3,A34,A43,<= 3000,A61,A75,4,A93,A101,4,A121,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
99,A12,1,A33,A41,<= 9000,A65,A74,3,A93,A101,4,A122,<= 60,A141,A151,2,A174,2,A192,A201,1,PASS,FAIR
100,A14,2,A32,A40,<= 3000,A62,A75,4,A94,A101,4,A121,<= 60,A143,A151,1,A172,1,A191,A201,1,PASS,UNFAIR
101,A12,3,A32,A43,<= 3000,A61,A74,4,A93,A101,4,A123,<= 30,A143,A151,1,A173,1,A191,A201,1,PASS,UNFAIR
102,A14,0,A33,A43,<= 3000,A61,A73,3,A92,A101,2,A121,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
103,A12,0,A34,A42,<= 3000,A61,A74,4,A93,A101,3,A123,<= 60,A143,A151,1,A173,1,A192,A201,1,PASS,UNFAIR
104,A14,1,A32,A41,<= 3000,A65,A72,2,A94,A101,4,A123,<= 30,A143,A151,1,A173,1,A192,A201,1,PASS,FAIR
105,A12,2,A34,A410,<= 12000,A61,A73,2,A93,A102,3,A123,<= 60,A143,A152,2,A174,2,A192,A201,2,FAIL,UNFAIR
106,A14,1,A31,A40,<= 9000,A61,A75,2,A93,A101,4,A124,<= 60,A141,A152,2,A174,2,A192,A201,2,FAIL,UNFAIR
107,A12,1,A32,A40,<= 9000,A61,A74,2,A93,A101,2,A123,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
108,A11,2,A32,A42,<= 9000,A65,A72,1,A92,A101,2,A122,<= 60,A143,A152,1,A173,1,A192,A202,1,PASS,FAIR
109,A12,1,A32,A49,<= 3000,A63,A75,1,A94,A101,2,A121,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,FAIR
110,A12,0,A33,A49,<= 3000,A62,A75,1,A91,A101,2,A123,<= 60,A141,A152,2,A173,2,A191,A201,1,PASS,UNFAIR
111,A13,1,A32,A46,<= 3000,A61,A72,4,A92,A101,4,A122,<= 30,A143,A151,1,A173,1,A192,A201,1,PASS,UNFAIR
112,A12,1,A32,A40,<= 9000,A61,A74,3,A93,A101,3,A121,<= 30,A143,A151,1,A172,1,A191,A201,1,PASS,UNFAIR
113,A14,3,A34,A40,<= 9000,A61,A73,4,A92,A101,2,A121,<= 30,A142,A152,2,A173,1,A192,A201,2,FAIL,UNFAIR
114,A11,1,A32,A43,<= 3000,A63,A75,3,A94,A101,1,A121,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,FAIR
115,A14,4,A34,A43,<= 6000,A65,A75,4,A93,A101,1,A121,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,FAIR
116,A11,3,A32,A43,<= 9000,A65,A74,4,A92,A101,3,A123,<= 60,A143,A152,1,A174,1,A192,A201,2,FAIL,FAIR
117,A11,0,A34,A42,<= 3000,A65,A72,2,A92,A102,3,A121,<= 30,A143,A151,2,A173,1,A191,A202,1,PASS,FAIR
118,A11,2,A34,A42,<= 6000,A63,A73,1,A92,A101,4,A123,<= 30,A143,A152,2,A173,1,A191,A201,2,FAIL,FAIR
119,A12,1,A34,A40,<= 3000,A63,A74,3,A91,A101,3,A123,<= 60,A143,A152,1,A174,1,A192,A201,1,PASS,FAIR
120,A11,1,A32,A43,<= 3000,A61,A73,3,A92,A101,2,A121,<= 30,A143,A152,2,A173,1,A192,A201,2,FAIL,UNFAIR
121,A14,2,A34,A41,<= 6000,A61,A75,4,A92,A101,2,A123,<= 60,A143,A151,2,A174,1,A192,A201,1,PASS,UNFAIR
122,A14,1,A32,A42,<= 3000,A61,A73,3,A93,A101,2,A121,<= 30,A143,A151,1,A172,1,A191,A201,1,PASS,UNFAIR
123,A13,0,A34,A40,<= 3000,A61,A75,4,A93,A101,4,A124,> 60,A143,A153,2,A173,1,A192,A201,1,PASS,UNFAIR
124,A12,1,A32,A42,<= 3000,A65,A72,4,A92,A101,3,A121,<= 30,A143,A151,1,A173,1,A191,A201,2,FAIL,FAIR
125,A11,1,A34,A40,<= 3000,A61,A73,4,A93,A101,2,A122,<= 60,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
126,A11,1,A32,A43,<= 3000,A61,A73,4,A94,A101,2,A121,<= 60,A143,A152,1,A172,1,A191,A201,1,PASS,UNFAIR
127,A12,1,A32,A45,<= 3000,A61,A73,4,A93,A101,2,A123,<= 60,A143,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
128,A12,1,A34,A41,<= 3000,A61,A71,4,A93,A101,2,A123,<= 60,A143,A152,2,A174,1,A192,A201,1,PASS,UNFAIR
129,A11,1,A34,A40,<= 6000,A61,A73,3,A92,A102,2,A121,<= 30,A143,A152,2,A173,1,A191,A201,2,FAIL,UNFAIR
130,A12,4,A32,A40,<= 9000,A65,A74,1,A92,A101,2,A123,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,FAIR
131,A11,3,A33,A46,<= 9000,A61,A73,4,A93,A101,3,A122,<= 30,A142,A152,1,A173,1,A192,A201,2,FAIL,UNFAIR
132,A14,1,A32,A42,<= 3000,A61,A72,2,A93,A101,3,A122,<= 30,A141,A152,2,A172,1,A191,A201,1,PASS,UNFAIR
133,A14,1,A32,A42,<= 3000,A61,A73,4,A93,A101,4,A124,<= 60,A141,A153,2,A173,1,A191,A201,1,PASS,UNFAIR
134,A14,5,A32,A43,<= 12000,A62,A74,2,A92,A101,4,A121,<= 30,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
135,A14,1,A34,A43,<= 3000,A65,A75,4,A92,A101,2,A121,<= 60,A143,A152,2,A173,1,A192,A201,1,PASS,FAIR
136,A14,2,A33,A41,<= 9000,A64,A73,2,A93,A101,2,A123,<= 30,A143,A152,2,A173,1,A191,A201,1,PASS,FAIR
137,A12,1,A32,A43,<= 3000,A63,A73,4,A93,A101,3,A121,> 60,A143,A152,1,A172,1,A191,A201,2,FAIL,FAIR
138,A12,1,A34,A43,<= 3000,A65,A74,4,A93,A103,2,A121,<= 60,A141,A152,3,A173,1,A192,A201,1,PASS,FAIR
139,A13,1,A32,A43,<= 3000,A61,A73,2,A92,A101,2,A123,<= 60,A143,A151,1,A172,1,A192,A201,1,PASS,UNFAIR
140,A13,0,A32,A40,<= 3000,A64,A72,2,A94,A101,2,A121,<= 30,A143,A152,1,A171,1,A191,A202,1,PASS,FAIR
141,A12,3,A32,A43,<= 6000,A61,A72,4,A92,A101,1,A124,<= 60,A143,A152,1,A174,1,A192,A201,1,PASS,UNFAIR
142,A11,2,A32,A43,<= 6000,A61,A73,3,A93,A101,2,A123,<= 30,A143,A152,1,A174,1,A191,A201,1,PASS,UNFAIR
143,A11,1,A32,A42,<= 3000,A61,A73,2,A93,A101,2,A123,<= 30,A143,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
144,A14,1,A34,A42,<= 3000,A61,A72,4,A92,A101,4,A122,<= 30,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
145,A12,4,A31,A49,<= 6000,A62,A74,4,A93,A101,2,A123,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
146,A11,0,A34,A40,<= 3000,A61,A75,1,A92,A101,4,A124,<= 60,A143,A152,2,A173,1,A192,A201,1,PASS,UNFAIR
147,A14,1,A34,A40,<= 3000,A62,A74,4,A92,A101,3,A123,<= 60,A143,A152,2,A173,1,A192,A201,1,PASS,UNFAIR
148,A11,3,A34,A42,<= 6000,A61,A73,3,A93,A103,2,A122,<= 30,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
149,A14,1,A34,A43,<= 3000,A64,A75,4,A93,A101,4,A123,<= 60,A143,A152,2,A173,1,A191,A201,1,PASS,FAIR
150,A14,0,A32,A43,<= 3000,A62,A75,2,A93,A101,4,A124,<= 60,A141,A153,1,A173,2,A192,A201,1,PASS,UNFAIR
151,A14,0,A32,A43,<= 3000,A61,A73,1,A93,A101,4,A122,<= 60,A143,A152,1,A173,1,A192,A202,1,PASS,FAIR
152,A13,3,A32,A43,<= 6000,A61,A73,4,A93,A101,1,A123,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
153,A12,2,A34,A41,<= 9000,A64,A75,2,A92,A101,4,A124,<= 30,A143,A151,1,A173,1,A191,A201,1,PASS,FAIR
154,A12,2,A33,A49,<= 9000,A62,A74,4,A93,A101,4,A123,<= 60,A143,A151,1,A174,1,A192,A201,1,PASS,UNFAIR
155,A11,1,A32,A42,<= 3000,A61,A73,2,A92,A101,4,A123,<= 30,A143,A151,1,A173,1,A191,A201,2,FAIL,UNFAIR
156,A11,0,A34,A45,<= 3000,A62,A75,3,A93,A103,4,A121,<= 60,A143,A152,2,A173,2,A191,A202,1,PASS,FAIR
157,A11,1,A31,A48,<= 3000,A61,A75,4,A94,A101,1,A123,<= 60,A141,A152,1,A172,1,A191,A201,1,PASS,UNFAIR
158,A12,2,A32,A40,<= 6000,A62,A74,2,A93,A101,3,A123,<= 60,A141,A152,2,A173,1,A192,A201,1,PASS,UNFAIR
159,A14,0,A34,A43,<= 3000,A65,A73,1,A93,A101,2,A121,<= 60,A143,A152,2,A172,2,A191,A201,1,PASS,FAIR
160,A14,2,A34,A43,<= 3000,A62,A75,3,A93,A101,4,A121,<= 60,A143,A152,1,A173,2,A192,A201,1,PASS,UNFAIR
161,A14,1,A34,A40,<= 3000,A61,A72,4,A92,A101,1,A122,<= 60,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
162,A14,1,A32,A44,<= 3000,A63,A74,4,A93,A101,3,A122,<= 60,A143,A152,2,A173,1,A192,A201,1,PASS,FAIR
163,A12,0,A32,A40,<= 9000,A61,A71,2,A93,A101,4,A124,> 60,A141,A153,1,A174,1,A192,A201,1,PASS,UNFAIR
164,A14,3,A32,A40,<= 3000,A63,A75,4,A93,A101,4,A122,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,FAIR
165,A14,0,A32,A42,<= 3000,A63,A73,1,A93,A101,2,A123,<= 60,A143,A152,1,A173,1,A192,A201,1,PASS,FAIR
166,A11,1,A32,A42,<= 3000,A61,A71,4,A92,A101,2,A123,<= 60,A143,A152,1,A173,1,A191,A201,2,FAIL,UNFAIR
167,A12,0,A32,A42,<= 3000,A64,A72,4,A92,A101,1,A121,<= 30,A143,A152,1,A173,1,A191,A201,1,PASS,FAIR
168,A14,2,A32,A42,<= 6000,A61,A74,2,A92,A101,4,A122,<= 30,A143,A151,1,A173,1,A192,A201,1,PASS,UNFAIR
169,A12,2,A34,A49,<= 3000,A61,A75,4,A91,A101,4,A121,<= 60,A143,A152,2,A173,1,A192,A201,2,FAIL,UNFAIR
170,A11,1,A30,A40,<= 3000,A61,A75,4,A93,A101,3,A123,<= 60,A143,A151,2,A173,2,A191,A201,2,FAIL,UNFAIR
171,A14,1,A32,A42,<= 3000,A61,A73,4,A92,A101,1,A121,<= 30,A143,A152,1,A173,1,A192,A201,1,PASS,UNFAIR
172,A12,2,A33,A42,<= 3000,A61,A71,3,A92,A101,2,A122,<= 60,A143,A152,1,A174,1,A192,A201,2,FAIL,UNFAIR
173,A12,0,A32,A43,<= 3000,A61,A73,4,A93,A103,2,A121,<= 60,A143,A152,1,A173,1,A191,A202,1,PASS,FAIR
174,A11,1,A33,A46,<= 6000,A61,A72,2,A93,A101,1,A122,<= 30,A143,A152,2,A173,1,A191,A201,2,FAIL,UNFAIR
175,A14,2,A31,A41,<= 9000,A65,A71,4,A92,A101,1,A121,<= 60,A141,A152,1,A174,1,A192,A201,2,FAIL,FAIR
176,A11,1,A32,A42,<= 3000,A61,A73,2,A91,A101,1,A123,<= 60,A143,A152,1,A173,1,A191,A201,1,PASS,UNFAIR
177,A11,0,A34,A43,<= 3000,A63,A75,4,A93,A101,4,A123,<= 60,A143,A152,2,A173,1,A191,A201,1,PASS,FAIR
178,A14,1,A32,A43,<= 3000,A61,A74,4,A93,A101,2,A123,<= 60,A143,A151,2,A174,2,A192,A201,1,PASS,UNFAIR
179,A11,1,A34,A40,<= 3000,A61,A75,4,A93,A101,4,A121,> 60,A143,A152,2,A173,1,A191,A201,1,PASS,UNFAIR
180,A14,3,A33,A49,<= 12000,A61,A72,1,A91,A101,1,A123,<= 30,A143,A152,2,A173,1,A191,A201,2,FAIL,UNFAIR
